object,night,filter,source_file,output_file,bias_source,bias_days_offset,flat_source,flat_days_offset
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.036.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.036.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.037.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.037.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.042.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.042.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.043.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.043.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.049.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.049.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.050.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.050.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.055.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.055.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.056.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.056.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.062.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.062.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.063.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.063.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.068.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.068.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.069.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.069.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.075.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.075.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.076.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.076.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.081.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.081.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.082.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.082.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.088.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.088.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.089.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.089.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.094.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.094.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.095.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.095.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.101.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.101.fits.gz,night-specific,0,night-specific,0
HII 1883,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110122.102.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110122/20110122.102.fits.gz,night-specific,0,night-specific,0
HII 1883,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110123.026.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110123/20110123.026.fits.gz,night-specific,0,night-specific,1
HII 1883,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110123.027.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110123/20110123.027.fits.gz,night-specific,0,night-specific,1
HII 1883,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110123.032.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110123/20110123.032.fits.gz,night-specific,0,night-specific,1
HII 1883,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/HII 1883/20110123.033.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated_nnf/HII 1883/20110123/20110123.033.fits.gz,night-specific,0,night-specific,1
